item_id,store_id,total_revenue,cv,abc_class,xyz_class,abc_xyz
FOODS_3_120,CA_3,442198.1016936302,0.9822376340960015,A,Y,AY
FOODS_3_090,CA_3,339060.4817060232,0.8292145433782014,A,Y,AY
FOODS_3_120,CA_1,308257.02118062973,1.0364266876640005,A,Z,AZ
FOODS_3_586,TX_2,306444.30164945126,0.30625619702207635,A,X,AX
HOBBIES_1_354,TX_3,257845.17483139038,1.9009636243149788,A,Z,AZ
FOODS_3_586,TX_3,238093.46110630035,0.3205020234618537,A,X,AX
FOODS_1_096,WI_2,222650.51859521866,1.1238690695817344,A,Z,AZ
FOODS_3_202,CA_3,218819.78231668472,0.6777261976103999,A,Y,AY
FOODS_3_120,WI_3,216012.48082733154,0.8454480304366557,A,Y,AY
FOODS_3_586,CA_3,214319.58082139492,0.2530659876280994,A,X,AX
FOODS_2_244,CA_3,195579.76290416718,0.6051791572798737,A,Y,AY
HOBBIES_1_158,TX_3,194249.93613052368,2.027349131328418,A,Z,AZ
FOODS_3_202,TX_2,181788.41303801537,0.682614283794098,A,Y,AY
FOODS_3_586,TX_1,178428.12099671364,0.33527298591799776,A,X,AX
FOODS_3_587,CA_3,177675.5221452713,0.8079252022799616,A,Y,AY
FOODS_3_202,TX_3,174930.16264247894,0.6382305167011936,A,Y,AY
FOODS_3_252,TX_2,173224.5431972742,0.39821656914457604,A,X,AX
FOODS_3_090,CA_1,172614.54082655907,0.8699612860168797,A,Y,AY
HOUSEHOLD_1_535,CA_3,166549.02498579025,0.6933159264661943,A,Y,AY
FOODS_3_134,WI_2,162028.4804673195,0.9902510981609812,A,Y,AY
FOODS_3_090,TX_2,161853.26059913635,0.865333204630567,A,Y,AY
HOUSEHOLD_1_272,CA_3,161185.48429870605,0.6886977621177957,A,Y,AY
FOODS_3_090,WI_3,160131.92994630337,0.8677335691402361,A,Y,AY
FOODS_3_202,TX_1,157702.0223531723,0.7039343627288224,A,Y,AY
FOODS_3_226,WI_3,157387.1600060463,0.2844719471093668,A,X,AX
FOODS_3_090,TX_3,156241.92061376572,0.8009695942157234,A,Y,AY
FOODS_3_555,TX_2,154511.78092610836,0.37028131946122034,A,X,AX
FOODS_3_586,CA_1,139590.18060588837,0.3576903583173242,A,X,AX
FOODS_2_197,CA_3,138087.8703505993,0.5689992133418597,A,Y,AY
FOODS_3_694,WI_3,136981.93997347355,0.29038688335226576,A,X,AX
FOODS_3_586,WI_3,135703.10108792782,0.422801553838057,A,X,AX
FOODS_3_202,CA_1,134301.52127218246,0.6220420310781272,A,Y,AY
HOUSEHOLD_1_053,CA_3,133056.8523645401,0.7629399750759713,A,Y,AY
FOODS_3_252,TX_3,131543.8624459505,0.45406342387201604,A,X,AX
FOODS_3_587,CA_1,131022.7616455555,0.7931392110274487,A,Y,AY
FOODS_2_197,CA_1,130959.66008853912,0.5985190193391409,A,Y,AY
HOBBIES_1_354,TX_2,129646.45740127563,1.8952186027464666,A,Z,AZ
FOODS_3_226,WI_1,127168.33957755566,0.35331070796417186,A,X,AX
FOODS_3_202,WI_3,127124.34242010117,0.6194904407988931,A,Y,AY
FOODS_3_090,TX_1,125779.32048630714,0.9400870661681582,A,Y,AY
FOODS_1_096,TX_3,125755.72859430313,1.1914998403682027,A,Z,AZ
FOODS_3_252,CA_3,123869.48234391212,0.3746846124936432,A,X,AX
FOODS_2_276,CA_3,123679.46039772034,0.8145152270450747,A,Y,AY
FOODS_3_555,TX_3,122393.94089877605,0.4614410809663575,A,X,AX
FOODS_3_377,TX_3,117027.46101665497,0.30480421501863225,A,X,AX
FOODS_3_444,TX_2,116465.98033809662,1.5500827125077905,A,Z,AZ
FOODS_2_244,CA_1,116361.98174095154,0.6603725543136498,A,Y,AY
HOUSEHOLD_1_494,CA_3,115405.5969619751,0.7187247964401379,A,Y,AY
FOODS_3_587,TX_2,114958.02138638496,0.6415661241447407,A,Y,AY
FOODS_3_252,CA_1,114033.5821634531,0.4776374626029505,A,X,AX
FOODS_3_444,WI_2,113987.98033094406,1.841949955863723,A,Z,AZ
FOODS_2_019,CA_1,113526.6401424408,0.5947286741718321,A,Y,AY
FOODS_3_226,WI_2,112799.37976515293,0.37968193165139674,A,X,AX
HOUSEHOLD_1_072,CA_3,112645.96016216278,0.5728759170283868,A,Y,AY
FOODS_3_587,TX_1,111084.55139648914,0.6052192725077903,A,Y,AY
FOODS_3_555,TX_1,109429.68108344078,0.5075513247005011,A,Y,AY
HOUSEHOLD_1_072,WI_2,108116.5999288559,0.5896587735376788,A,Y,AY
FOODS_3_587,WI_3,105489.12132740021,0.7823546458017954,A,Y,AY
FOODS_3_607,CA_3,105110.54096198082,1.12941411223508,A,Z,AZ
FOODS_3_282,CA_3,104582.77984333038,1.2063536741707126,A,Z,AZ
FOODS_1_012,CA_2,104386.4499745369,0.8174308252045946,A,Y,AY
HOUSEHOLD_1_427,WI_2,101325.96064853668,1.1212552985770436,A,Z,AZ
FOODS_3_586,CA_2,101250.98025763035,0.3869393068591331,A,X,AX
HOUSEHOLD_1_110,WI_2,101025.0596215725,1.0029758371978457,A,Z,AZ
FOODS_2_029,CA_3,99803.65617752075,1.4145534200660017,A,Z,AZ
FOODS_3_574,TX_2,99626.50031757355,0.894847184168641,A,Y,AY
FOODS_3_377,TX_2,99611.42097377777,0.3502005809653845,A,X,AX
FOODS_1_096,WI_3,99532.9692773819,1.141827109529686,A,Z,AZ
FOODS_3_587,TX_3,98896.73136460781,0.695153554031528,A,Y,AY
FOODS_3_120,WI_2,98260.38037633896,0.9552239502855188,A,Y,AY
FOODS_3_444,TX_3,96980.42028045654,1.7213238458463287,A,Z,AZ
HOUSEHOLD_1_072,WI_3,95522.59982967377,0.6415417821985873,A,Y,AY
FOODS_3_694,WI_2,95289.39977884293,0.3621787096414192,A,X,AX
FOODS_3_764,CA_3,95246.78060913086,0.9142299055379499,A,Y,AY
HOBBIES_1_236,CA_1,94264.5213842392,1.0503492743266445,A,Z,AZ
FOODS_3_555,CA_3,94129.16046583652,0.3082357824601482,A,X,AX
