item_id,store_id,cat_id,dept_id,abc_class,sell_price,Cu,Co,CR,forecast_mean,demand_std,Q_star,EOQ,q_difference,q_difference_pct,expected_sales,expected_leftover,expected_stockout,expected_profit_newsvendor,expected_profit_eoq,profit_improvement,profit_improvement_pct
FOODS_1_001,CA_1,FOODS,FOODS_1,B,2.24,0.672,0.22400000000000003,0.7499999999999999,0.8308610212192183,1.2781227967601092,1.7,82.0,-80.3,-97.92682926829268,1.0466233792958008,0.6533766207041991,-0.2157623580765825,0.5569745478490375,-17.62354852498758,18.180523072836618,103.16039954756747
FOODS_1_002,CA_1,FOODS,FOODS_1,A,8.88,2.664,0.8880000000000001,0.7499999999999999,0.4388617366725055,1.0,1.1,30.0,-28.9,-96.33333333333333,0.606963957689533,0.49303604231046705,-0.16810222101702754,1.1791359777132213,-25.08116311133926,26.260299089052484,104.70128108684136
FOODS_1_003,CA_1,FOODS,FOODS_1,B,2.88,0.864,0.288,0.75,0.7260948915588987,1.0,1.4,68.0,-66.6,-97.94117647058823,0.8946963951169447,0.5053036048830553,-0.16860150355804593,0.6274902471747204,-18.747538684924148,19.375028932098868,103.3470540198395
FOODS_1_004,CA_1,FOODS,FOODS_1,A,1.78,0.534,0.17800000000000002,0.75,9.276621142490878,1.0,10.0,308.0,-298.0,-96.75324675324676,9.446415216505034,0.5535847834949656,-0.16979407401415614,4.945847634151584,-48.219045746546506,53.16489338069809,110.25704170951126
FOODS_1_005,CA_1,FOODS,FOODS_1,A,3.28,0.9839999999999999,0.328,0.75,1.404758242201575,1.166099635446457,2.2,88.0,-85.8,-97.5,1.601683824198759,0.5983161758012412,-0.19692558199718402,1.3798091773487715,-27.02095718623153,28.400766363580303,105.10644078164577
FOODS_1_006,CA_1,FOODS,FOODS_1,B,2.24,0.672,0.22400000000000003,0.7499999999999999,1.56201582409138,1.6183471874253743,2.7,113.0,-110.3,-97.61061946902655,1.8362390478685544,0.8637609521314458,-0.27422322377717445,1.0404701868902246,-23.912433821614126,24.95290400850435,104.3511680770435
FOODS_1_008,CA_1,FOODS,FOODS_1,C,3.28,0.9839999999999999,0.328,0.75,0.310378026582293,1.0,1.0,42.0,-41.0,-97.61904761904762,0.4794843495889193,0.5205156504110807,-0.16910632300662626,0.30108346666066205,-13.368784029124031,13.669867495784693,102.25213801049331
FOODS_1_009,CA_1,FOODS,FOODS_1,C,2.38,0.714,0.238,0.75,1.4629610258889512,1.0,2.1,106.0,-103.9,-98.01886792452831,1.6298969161961552,0.4701030838038449,-0.16693589030720402,1.0518618642187396,-23.83526110335372,24.88712296757246,104.41304947177919
FOODS_1_010,CA_1,FOODS,FOODS_1,C,5.33,1.599,0.533,0.75,0.1934122877875387,1.0,0.9,26.0,-25.1,-96.53846153846153,0.3629307093495405,0.5370692906504595,-0.16951842156200184,0.2940682723332204,-13.445645002436969,13.739713274770189,102.1870893681926
FOODS_1_011,CA_1,FOODS,FOODS_1,B,2.48,0.744,0.248,0.75,0.9245038531070836,1.1338934190276817,1.7,82.0,-80.3,-97.92682926829268,1.1160605484215789,0.5839394515784211,-0.19155669531449526,0.6855320640342062,-19.418892177717773,20.10442424175198,103.53023260935976
FOODS_1_012,CA_1,FOODS,FOODS_1,A,5.4,1.62,0.54,0.75,3.593015405557208,2.029869545160568,5.0,110.0,-105.0,-95.45454545454545,3.936475431110241,1.063524568889759,-0.3434600255530329,5.802786931198121,-51.639086723996435,57.441873655194556,111.23719898884576
FOODS_1_013,CA_1,FOODS,FOODS_1,B,1.48,0.444,0.148,0.75,2.0482821775455564,2.55934846206306,3.8,159.0,-155.2,-97.61006289308175,2.4806919840855333,1.3193080159144666,-0.43240980653997685,0.9061696545786356,-22.31941695089303,23.225586605471666,104.06000594268383
FOODS_1_014,CA_1,FOODS,FOODS_1,C,0.98,0.294,0.098,0.7499999999999999,1.6848726165769872,1.1001442906807546,2.4,177.0,-174.6,-98.64406779661017,1.8692583783044383,0.5307416216955616,-0.18438576172745114,0.49754928429533984,-16.685529934301822,17.18307921859716,102.9819207795881
FOODS_1_015,CA_1,FOODS,FOODS_1,B,3.24,0.972,0.32400000000000007,0.75,0.6469023360704099,1.0,1.3,60.0,-58.7,-97.83333333333334,0.8146482891184963,0.48535171088150375,-0.16774595304808637,0.6345841826975711,-18.601614572452753,19.236198755150326,103.4114467871909
FOODS_1_016,CA_1,FOODS,FOODS_1,B,1.98,0.594,0.198,0.7499999999999999,1.0816271038776224,1.0,1.8,100.0,-98.2,-98.2,1.2513525401843943,0.5486474598156057,-0.16972543630677195,0.6346712118260402,-18.943351333728927,19.578022545554965,103.3503639384864
FOODS_1_017,CA_1,FOODS,FOODS_1,C,2.38,0.714,0.238,0.75,0.893702305745404,1.0,1.6,83.0,-81.4,-98.07228915662651,1.0632148213588886,0.5367851786411115,-0.16951251561348457,0.6313805099336618,-18.903195404930376,19.53457591486404,103.34007291576208
FOODS_1_018,CA_1,FOODS,FOODS_1,A,0.98,0.294,0.098,0.7499999999999999,9.335778617071387,5.603511784255115,13.1,417.0,-403.9,-96.85851318944843,10.280100894137663,2.819899105862337,-0.9443222770662754,2.7459995505019634,-37.206374782108014,39.95237433260998,107.38045446938429
FOODS_1_019,CA_1,FOODS,FOODS_1,A,1.08,0.324,0.10800000000000001,0.7499999999999999,8.331276464646749,7.395837525149718,13.3,375.0,-361.7,-96.45333333333333,9.57766541211145,3.7223345878885503,-1.2463889474647019,2.7011514580321467,-36.90088856727261,39.60204002530476,107.32001738415535
FOODS_1_020,CA_1,FOODS,FOODS_1,B,2.68,0.804,0.268,0.75,1.1690261249270293,1.0202966681339751,1.9,89.0,-87.1,-97.86516853932584,1.3421661403182377,0.5578338596817622,-0.17314001539120838,0.9296021024211509,-22.598803994078228,23.528406096499378,104.11350132805586
FOODS_1_021,CA_1,FOODS,FOODS_1,A,0.98,0.294,0.098,0.7499999999999999,2.3801025595935537,1.7089865185644153,3.5,211.0,-207.5,-98.34123222748815,2.666950378503699,0.833049621496301,-0.2868478189101453,0.7024445483734499,-19.744999796639327,20.447444345012777,103.55758194787627
FOODS_1_022,CA_1,FOODS,FOODS_1,C,4.63,1.389,0.463,0.75,0.0623160757294412,1.0,0.7,16.0,-15.3,-95.625,0.22928705979856878,0.4707129402014312,-0.16697098406912758,0.10053963474694938,-7.292590627749075,7.393130262496024,101.37865458077937
