item_id,store_id,cat_id,sell_price,Cu,Co,CR,forecast_mean,demand_std,Q_star,EOQ,expected_profit_newsvendor,expected_profit_eoq,profit_improvement
FOODS_1_001,CA_1,FOODS,2.24,0.672,0.224,0.7499999999999999,0.8308610212192183,1.2781227967601092,1.7,82.0,0.5569745478490375,-17.62354852498758,18.180523072836618
FOODS_1_002,CA_1,FOODS,8.88,2.664,0.8880000000000001,0.7499999999999999,0.4388617366725055,1.0,1.1,30.0,1.179135977713221,-25.08116311133926,26.260299089052484
FOODS_1_003,CA_1,FOODS,2.88,0.864,0.288,0.75,0.7260948915588987,1.0,1.4,68.0,0.6274902471747204,-18.747538684924148,19.375028932098868
FOODS_1_004,CA_1,FOODS,1.78,0.534,0.178,0.75,9.276621142490878,1.0,10.0,308.0,4.945847634151584,-48.219045746546506,53.16489338069809
FOODS_1_005,CA_1,FOODS,3.28,0.984,0.328,0.75,1.404758242201575,1.166099635446457,2.2,88.0,1.3798091773487715,-27.02095718623153,28.400766363580303
FOODS_1_006,CA_1,FOODS,2.24,0.672,0.224,0.7499999999999999,1.56201582409138,1.6183471874253743,2.7,113.0,1.0404701868902246,-23.91243382161413,24.95290400850435
FOODS_1_008,CA_1,FOODS,3.28,0.984,0.328,0.75,0.310378026582293,1.0,1.0,42.0,0.301083466660662,-13.368784029124033,13.669867495784692
FOODS_1_009,CA_1,FOODS,2.38,0.714,0.238,0.75,1.4629610258889512,1.0,2.1,106.0,1.0518618642187396,-23.83526110335372,24.88712296757246
FOODS_1_010,CA_1,FOODS,5.33,1.599,0.533,0.75,0.1934122877875387,1.0,0.9,26.0,0.2940682723332204,-13.445645002436969,13.739713274770187
FOODS_1_011,CA_1,FOODS,2.48,0.744,0.248,0.75,0.9245038531070836,1.1338934190276817,1.7,82.0,0.6855320640342062,-19.418892177717773,20.10442424175198
FOODS_1_012,CA_1,FOODS,5.4,1.62,0.54,0.75,3.593015405557208,2.029869545160568,5.0,110.0,5.802786931198121,-51.63908672399644,57.44187365519456
FOODS_1_013,CA_1,FOODS,1.48,0.444,0.148,0.75,2.0482821775455564,2.55934846206306,3.8,159.0,0.9061696545786356,-22.31941695089303,23.225586605471666
FOODS_1_014,CA_1,FOODS,0.98,0.294,0.098,0.7499999999999999,1.6848726165769872,1.1001442906807546,2.4,177.0,0.4975492842953398,-16.685529934301822,17.18307921859716
FOODS_1_015,CA_1,FOODS,3.24,0.972,0.324,0.75,0.6469023360704099,1.0,1.3,60.0,0.6345841826975711,-18.601614572452757,19.23619875515033
FOODS_1_016,CA_1,FOODS,1.98,0.594,0.198,0.7499999999999999,1.0816271038776224,1.0,1.8,100.0,0.6346712118260402,-18.943351333728927,19.578022545554965
FOODS_1_017,CA_1,FOODS,2.38,0.714,0.238,0.75,0.893702305745404,1.0,1.6,83.0,0.6313805099336618,-18.903195404930376,19.53457591486404
FOODS_1_018,CA_1,FOODS,0.98,0.294,0.098,0.7499999999999999,9.335778617071387,5.603511784255115,13.1,417.0,2.7459995505019634,-37.206374782108014,39.95237433260998
FOODS_1_019,CA_1,FOODS,1.08,0.324,0.108,0.7499999999999999,8.331276464646749,7.395837525149718,13.3,375.0,2.7011514580321467,-36.90088856727261,39.60204002530476
FOODS_1_020,CA_1,FOODS,2.68,0.804,0.268,0.75,1.1690261249270293,1.0202966681339751,1.9,89.0,0.9296021024211508,-22.598803994078228,23.528406096499378
FOODS_1_021,CA_1,FOODS,0.98,0.294,0.098,0.7499999999999999,2.3801025595935537,1.7089865185644153,3.5,211.0,0.7024445483734499,-19.744999796639327,20.447444345012777
FOODS_1_022,CA_1,FOODS,4.63,1.389,0.463,0.75,0.0623160757294412,1.0,0.7,16.0,0.1005396347469493,-7.292590627749075,7.393130262496024
FOODS_1_023,CA_1,FOODS,5.4,1.62,0.54,0.75,0.2653497179030116,1.0,0.9,30.0,0.4474520984402342,-15.626844609329495,16.074296707769733
FOODS_1_024,CA_1,FOODS,4.74,1.422,0.474,0.75,0.5133236646243778,1.0,1.2,44.0,0.7249251389318718,-19.882738331872183,20.607663470804056
FOODS_1_025,CA_1,FOODS,4.27,1.281,0.427,0.75,0.5916850608686296,1.0,1.3,50.0,0.7450942373061091,-20.33940191603638,21.08449615334249
FOODS_1_026,CA_1,FOODS,6.98,2.094,0.6980000000000001,0.75,1.1550592850385937,1.1930131697849873,2.0,55.0,2.393682851212776,-35.16507447617225,37.558757327385024
FOODS_1_027,CA_1,FOODS,1.78,0.534,0.178,0.75,1.0975947297802524,1.64389201360094,2.2,106.0,0.5870853482224585,-18.086512552396464,18.673597900618923
FOODS_1_028,CA_1,FOODS,2.78,0.834,0.2779999999999999,0.75,0.6900126953848821,1.3113263207824053,1.6,67.0,0.5692560683490021,-17.85870588273201,18.427961951081013
FOODS_1_029,CA_1,FOODS,3.94,1.182,0.394,0.7499999999999999,0.4241504155087078,1.0,1.1,44.0,0.5008857307382177,-16.667538945158277,17.168424675896496
FOODS_1_030,CA_1,FOODS,3.24,0.972,0.324,0.75,0.3482505635304601,1.0,1.0,44.0,0.3446499186507937,-13.804667269664526,14.14931718831532
FOODS_1_031,CA_1,FOODS,3.28,0.984,0.328,0.75,0.981506923610741,1.1773883752795364,1.8,74.0,0.958792911270081,-22.98426291622271,23.943055827492792
FOODS_1_032,CA_1,FOODS,0.98,0.294,0.098,0.7499999999999999,2.25053186704174,1.8743605611587948,3.5,205.0,0.6628860056675622,-19.20779150811964,19.870677513787204
FOODS_1_033,CA_1,FOODS,5.4,1.62,0.54,0.75,0.9244340009955784,1.0,1.6,56.0,1.4970841989754065,-28.243222557849556,29.74030675682496
FOODS_1_034,CA_1,FOODS,5.47,1.6409999999999998,0.547,0.75,0.3995162704495317,1.0,1.1,37.0,0.6430577604614167,-19.364858400256427,20.007916160717844
FOODS_1_035,CA_1,FOODS,2.48,0.744,0.248,0.75,1.464892537040447,2.456769074559977,3.1,104.0,1.094500815187411,-24.33882660325588,25.43332741844329
FOODS_1_036,CA_1,FOODS,1.78,0.534,0.178,0.75,2.324976201549449,1.6342077348473545,3.4,154.0,1.2456131970791466,-25.756616944496795,27.002230141575943
FOODS_1_037,CA_1,FOODS,3.24,0.972,0.324,0.75,3.155841539706078,1.8122890316921123,4.4,133.0,3.061342842513903,-39.00202936454093,42.06337220705483
FOODS_1_038,CA_1,FOODS,8.98,2.694,0.8980000000000001,0.75,0.3521410005165445,1.0,1.0,27.0,0.9685368925510351,-22.98110952614458,23.94964641869561
FOODS_1_039,CA_1,FOODS,2.48,0.744,0.248,0.75,0.5492804649579396,1.0,1.2,64.0,0.4135794627488207,-15.327113778761724,15.740693241510543
FOODS_1_040,CA_1,FOODS,1.78,0.534,0.178,0.75,3.489009343459565,2.5302403842552987,5.2,189.0,1.862462858499293,-31.157825347456797,33.020288205956085
FOODS_1_041,CA_1,FOODS,2.24,0.672,0.224,0.7499999999999999,1.171401376683776,1.387777332977422,2.1,98.0,0.7886023116266966,-20.902424366491346,21.69102667811804
FOODS_1_042,CA_1,FOODS,0.98,0.294,0.098,0.7499999999999999,3.514275223911428,2.3948799000053715,5.1,256.0,1.0356482495952402,-23.71040411222672,24.74605236182196
