item_id,store_id,order_qty,fulfilled,demand_mean,sell_price,budget_spent,scenario
FOODS_1_001,CA_1,0.83086102,0.83086102,0.8308610212192183,2.24,1.8611286848000002,Tight_50K
FOODS_1_002,CA_1,0.43886174,0.43886174,0.4388617366725055,8.88,3.8970922512,Tight_50K
FOODS_1_003,CA_1,0.72609489,0.72609489,0.7260948915588987,2.88,2.0911532832,Tight_50K
FOODS_1_004,CA_1,9.2766211,9.2766211,9.276621142490878,1.78,16.512385558,Tight_50K
FOODS_1_005,CA_1,1.4047582,1.4047582,1.404758242201575,3.28,4.607606896,Tight_50K
FOODS_1_006,CA_1,1.5620158,1.5620158,1.56201582409138,2.24,3.4989153920000002,Tight_50K
FOODS_1_011,CA_1,0.92450385,0.92450385,0.9245038531070836,2.48,2.292769548,Tight_50K
FOODS_1_012,CA_1,3.5930154,3.5930154,3.593015405557208,5.4,19.402283160000003,Tight_50K
FOODS_1_013,CA_1,2.0482822,2.0482822,2.0482821775455564,1.48,3.031457656,Tight_50K
FOODS_1_015,CA_1,0.64690234,0.64690234,0.6469023360704099,3.24,2.0959635816000004,Tight_50K
FOODS_1_016,CA_1,1.0816271,1.0816271,1.0816271038776224,1.98,2.141621658,Tight_50K
FOODS_1_018,CA_1,9.3357786,9.3357786,9.335778617071387,0.98,9.149063027999999,Tight_50K
FOODS_1_019,CA_1,8.3312765,8.3312765,8.331276464646749,1.08,8.99777862,Tight_50K
FOODS_1_020,CA_1,1.1690261,1.1690261,1.1690261249270293,2.68,3.132989948,Tight_50K
FOODS_1_021,CA_1,2.3801026,2.3801026,2.3801025595935537,0.98,2.3325005479999996,Tight_50K
FOODS_1_023,CA_1,0.26534972,0.26534972,0.2653497179030116,5.4,1.4328884880000001,Tight_50K
FOODS_1_024,CA_1,0.51332366,0.51332366,0.5133236646243778,4.74,2.4331541484,Tight_50K
FOODS_1_025,CA_1,0.59168506,0.59168506,0.5916850608686296,4.27,2.5264952062,Tight_50K
FOODS_1_026,CA_1,1.1550593,1.1550593,1.1550592850385937,6.98,8.062313914,Tight_50K
FOODS_1_027,CA_1,1.0975947,1.0975947,1.0975947297802524,1.78,1.9537185659999998,Tight_50K
FOODS_1_028,CA_1,0.6900127,0.6900127,0.6900126953848821,2.78,1.918235306,Tight_50K
FOODS_1_030,CA_1,0.34825056,0.34825056,0.3482505635304601,3.24,1.1283318144,Tight_50K
FOODS_1_031,CA_1,0.98150692,0.98150692,0.981506923610741,3.28,3.2193426975999997,Tight_50K
FOODS_1_032,CA_1,2.2505319,2.2505319,2.25053186704174,0.98,2.205521262,Tight_50K
FOODS_1_033,CA_1,0.924434,0.924434,0.9244340009955784,5.4,4.9919436,Tight_50K
FOODS_1_034,CA_1,0.39951627,0.39951627,0.3995162704495317,5.47,2.1853539969,Tight_50K
FOODS_1_035,CA_1,1.4648925,1.4648925,1.464892537040447,2.48,3.6329333999999998,Tight_50K
FOODS_1_036,CA_1,2.3249762,2.3249762,2.324976201549449,1.78,4.138457636,Tight_50K
FOODS_1_037,CA_1,3.1558415,3.1558415,3.155841539706078,3.24,10.22492646,Tight_50K
FOODS_1_038,CA_1,0.352141,0.352141,0.3521410005165445,8.98,3.1622261799999998,Tight_50K
FOODS_1_040,CA_1,3.4890093,3.4890093,3.489009343459565,1.78,6.210436554,Tight_50K
FOODS_1_041,CA_1,1.1714014,1.1714014,1.171401376683776,2.24,2.623939136,Tight_50K
FOODS_1_042,CA_1,3.5142752,3.5142752,3.514275223911428,0.98,3.443989696,Tight_50K
FOODS_1_043,CA_1,0.01319427,0.01319427,0.0131942702761603,1.78,0.0234858006,Tight_50K
FOODS_1_044,CA_1,0.99804607,0.99804607,0.9980460651829036,2.78,2.7745680746,Tight_50K
FOODS_1_045,CA_1,2.8399693,2.8399693,2.83996932047543,1.78,5.0551453539999995,Tight_50K
FOODS_1_046,CA_1,6.3740429,6.3740429,6.374042853816239,0.98,6.246562042,Tight_50K
FOODS_1_047,CA_1,0.73873249,0.73873249,0.7387324910894334,3.28,2.4230425671999996,Tight_50K
FOODS_1_048,CA_1,0.32497848,0.32497848,0.3249784814027209,5.98,1.9433713104000003,Tight_50K
FOODS_1_049,CA_1,0.8047375,0.8047375,0.8047374966302488,2.24,1.802612,Tight_50K
FOODS_1_050,CA_1,1.1701063,1.1701063,1.170106316457431,5.98,6.997235674000001,Tight_50K
FOODS_1_051,CA_1,0.83585536,0.83585536,0.8358553629872648,3.87,3.2347602432,Tight_50K
FOODS_1_053,CA_1,0.10678119,0.10678119,0.1067811944675191,5.47,0.5840931092999999,Tight_50K
FOODS_1_054,CA_1,1.7887287,1.7887287,1.7887286584039497,1.88,3.362809956,Tight_50K
FOODS_1_055,CA_1,2.1079015,2.1079015,2.1079015088572968,3.98,8.38944797,Tight_50K
FOODS_1_058,CA_1,2.6848868,2.6848868,2.684886791829693,1.78,4.779098504,Tight_50K
FOODS_1_061,CA_1,2.0162139,2.0162139,2.0162138541932526,2.24,4.516319136,Tight_50K
FOODS_1_062,CA_1,0.62539072,0.62539072,0.6253907208430618,3.94,2.4640394368,Tight_50K
FOODS_1_063,CA_1,0.36142332,0.36142332,0.3614233197522627,2.24,0.8095882368,Tight_50K
FOODS_1_064,CA_1,1.1539793,1.1539793,1.1539793176953306,2.68,3.0926645240000004,Tight_50K
FOODS_1_065,CA_1,0.65282425,0.65282425,0.6528242529946947,3.28,2.1412635399999997,Tight_50K
FOODS_1_066,CA_1,1.6652827,1.6652827,1.6652827161707515,1.36,2.264784472,Tight_50K
