cat_id,year,month,total_units,total_revenue
FOODS,2011,1,63110,129451.31
FOODS,2011,2,520250,1162353.63
FOODS,2011,3,534914,1212103.12
FOODS,2011,4,509568,1167042.9
FOODS,2011,5,491753,1145090.66
FOODS,2011,6,525861,1223478.55
FOODS,2011,7,574495,1344335.22
FOODS,2011,8,580152,1360456.04
FOODS,2011,9,574927,1335139.19
FOODS,2011,10,642127,1459533.51
FOODS,2011,11,591297,1330053.32
FOODS,2011,12,650410,1481030.96
FOODS,2012,1,653360,1490366.63
FOODS,2012,2,647943,1514046.36
FOODS,2012,3,713326,1663149.13
FOODS,2012,4,690974,1592985.66
FOODS,2012,5,750398,1705334.07
FOODS,2012,6,790613,1779703.83
FOODS,2012,7,779599,1776152.23
FOODS,2012,8,789020,1777637.26
FOODS,2012,9,735178,1697145.97
FOODS,2012,10,698890,1585103.63
FOODS,2012,11,675351,1546034.85
FOODS,2012,12,735616,1696087.18
FOODS,2013,1,716285,1680554.9
FOODS,2013,2,685611,1610971.91
FOODS,2013,3,759324,1785620.51
FOODS,2013,4,681137,1598576.11
FOODS,2013,5,718366,1677284.42
FOODS,2013,6,772864,1763696.53
FOODS,2013,7,800588,1811687.03
FOODS,2013,8,835727,1835799.57
FOODS,2013,9,815622,1799867.99
FOODS,2013,10,764008,1816142.07
FOODS,2013,11,709657,1666111.14
FOODS,2013,12,732293,1715287.91
FOODS,2014,1,737475,1718380.73
FOODS,2014,2,681348,1645789.41
FOODS,2014,3,765733,1868472.92
FOODS,2014,4,769819,1857419.25
FOODS,2014,5,755795,1867206.19
FOODS,2014,6,773507,1832553.83
FOODS,2014,7,801572,1877705.48
FOODS,2014,8,813061,1914315.66
FOODS,2014,9,750486,1844060.01
FOODS,2014,10,745506,1957920.31
FOODS,2014,11,714904,1874306.01
FOODS,2014,12,686319,1846462.19
FOODS,2015,1,736030,1914070.79
FOODS,2015,2,671961,1764355.7
FOODS,2015,3,724905,1911821.44
FOODS,2015,4,710301,1875166.12
FOODS,2015,5,741404,1949625.84
FOODS,2015,6,763726,1882872.88
FOODS,2015,7,809505,2008899.0
FOODS,2015,8,811161,2032412.42
FOODS,2015,9,780594,1973379.0
FOODS,2015,10,819910,2162592.2
