item_id,dept_id,cat_id,total_units,avg_price,total_revenue
FOODS_3_586,FOODS_3,FOODS,920242,1.59,1462145.56
FOODS_3_120,FOODS_3,FOODS,283104,4.98,1409850.66
FOODS_3_090,FOODS_3,FOODS,1002529,1.36,1354125.46
FOODS_3_202,FOODS_3,FOODS,295689,4.25,1250779.57
FOODS_3_587,FOODS_3,FOODS,396119,2.52,976328.82
FOODS_3_252,FOODS_3,FOODS,565299,1.52,858496.32
FOODS_3_555,FOODS_3,FOODS,491287,1.59,777931.56
FOODS_3_444,FOODS_3,FOODS,105544,6.6,694050.1
HOBBIES_1_354,HOBBIES_1,HOBBIES,29320,23.17,670044.6
FOODS_1_096,FOODS_1,FOODS,92357,6.69,644767.06
FOODS_3_694,FOODS_3,FOODS,390001,1.6,624251.98
FOODS_3_714,FOODS_3,FOODS,396172,1.52,602607.96
FOODS_3_226,FOODS_3,FOODS,363082,1.6,583977.86
HOBBIES_1_158,HOBBIES_1,HOBBIES,24859,22.01,568959.26
HOUSEHOLD_1_535,HOUSEHOLD_1,HOUSEHOLD,80783,6.96,562991.51
HOUSEHOLD_1_072,HOUSEHOLD_1,HOUSEHOLD,69608,8.01,556892.26
FOODS_2_244,FOODS_2,FOODS,95346,5.79,553018.89
FOODS_3_099,FOODS_3,FOODS,213577,2.5,532501.4
HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,146719,3.63,532409.79
HOUSEHOLD_1_272,HOUSEHOLD_1,HOUSEHOLD,52844,9.95,526827.94
