item_id,store_id,total_days,zero_days,zero_percentage
HOUSEHOLD_1_020,CA_3,1913,1906,99.63
FOODS_3_778,CA_2,1913,1903,99.48
HOUSEHOLD_1_336,CA_3,1913,1903,99.48
HOBBIES_1_170,WI_3,1913,1900,99.32
FOODS_2_057,WI_2,1913,1899,99.27
FOODS_2_071,TX_3,1913,1899,99.27
HOUSEHOLD_1_073,CA_3,1913,1899,99.27
FOODS_3_135,WI_2,1913,1897,99.16
HOUSEHOLD_1_400,CA_4,1913,1897,99.16
HOUSEHOLD_1_512,CA_4,1913,1896,99.11
FOODS_2_209,TX_2,1913,1895,99.06
FOODS_2_117,CA_4,1913,1894,99.01
HOBBIES_1_026,CA_1,1913,1894,99.01
HOUSEHOLD_1_032,TX_1,1913,1894,99.01
HOUSEHOLD_2_216,CA_4,1913,1894,99.01
FOODS_1_079,CA_2,1913,1893,98.95
HOBBIES_1_006,CA_4,1913,1893,98.95
HOUSEHOLD_1_378,CA_1,1913,1893,98.95
HOUSEHOLD_2_307,CA_4,1913,1893,98.95
HOUSEHOLD_1_183,CA_4,1913,1892,98.9
FOODS_2_209,CA_2,1913,1891,98.85
FOODS_2_337,CA_2,1913,1891,98.85
HOBBIES_2_108,WI_3,1913,1891,98.85
HOUSEHOLD_2_130,WI_2,1913,1891,98.85
HOUSEHOLD_2_448,WI_3,1913,1891,98.85
HOBBIES_1_063,CA_4,1913,1890,98.8
HOBBIES_2_084,CA_4,1913,1890,98.8
HOBBIES_1_212,WI_2,1913,1889,98.75
FOODS_2_117,CA_2,1913,1888,98.69
FOODS_2_209,CA_4,1913,1888,98.69
FOODS_2_310,TX_3,1913,1888,98.69
HOBBIES_1_186,WI_3,1913,1888,98.69
HOBBIES_1_217,TX_1,1913,1888,98.69
HOBBIES_1_230,CA_4,1913,1888,98.69
HOBBIES_2_025,TX_1,1913,1888,98.69
HOUSEHOLD_1_402,WI_3,1913,1888,98.69
HOUSEHOLD_2_101,WI_2,1913,1888,98.69
HOUSEHOLD_2_186,WI_3,1913,1888,98.69
FOODS_2_005,CA_2,1913,1887,98.64
HOBBIES_1_170,CA_4,1913,1887,98.64
HOBBIES_2_030,CA_4,1913,1887,98.64
HOUSEHOLD_2_419,WI_3,1913,1887,98.64
FOODS_2_158,CA_2,1913,1886,98.59
FOODS_2_259,TX_3,1913,1886,98.59
HOBBIES_1_402,WI_1,1913,1886,98.59
HOBBIES_2_025,CA_4,1913,1886,98.59
HOBBIES_2_027,CA_4,1913,1886,98.59
HOBBIES_2_031,WI_2,1913,1886,98.59
HOUSEHOLD_1_512,CA_3,1913,1886,98.59
HOUSEHOLD_2_307,WI_2,1913,1886,98.59
HOUSEHOLD_2_338,TX_1,1913,1886,98.59
FOODS_1_039,CA_4,1913,1885,98.54
FOODS_1_186,CA_4,1913,1885,98.54
